"source";"translation";"type";"module";"status";"customer"
"Are you sure you want to delete this translation?";"Are you sure you want to delete this translation?";"C";"";"N";"N"
"Custom translated";"Custom translated";"C";"";"N";"N"
"CSRF protection";"CSRF protection";"C";"";"N";"N"
"When enabled, application checks each request agains CSRF attacks.";"When enabled, application checks each request agains CSRF attacks.";"C";"";"N";"N"
"Enable CSP headers for Agent panel";"Enable CSP headers for Agent panel";"C";"";"N";"N"
"Limit trusted domains in Content-Security-Policy header for Agent panel.";"Limit trusted domains in Content-Security-Policy header for Agent panel.";"C";"";"N";"N"
"Agent panel CSP header trusted domains";"Agent panel CSP header trusted domains";"C";"";"N";"N"
"Limit trusted domains in Content-Security-Policy header for Knowledgebase.";"Limit trusted domains in Content-Security-Policy header for Knowledgebase.";"C";"";"N";"N"
"Knowledgebase CSP header trusted domains";"Knowledgebase CSP header trusted domains";"C";"";"N";"N"
"Allow Google Document Viewer";"Allow Google Document Viewer";"C";"";"N";"N"
"Allow using Google Document Viewer to display attached insecure document files type instead of direct view or download.";"Allow using Google Document Viewer to display attached insecure document files type instead of direct view or download.";"C";"";"N";"N"
"Define your Content-Security-Policy header so that it contains all the domains from which you wish to load external resources. For example if you'd like to add to your article images from domains %s and %s and you'd also like to add scripts from domain %s you would need to set this setting to %s ";"Define your Content-Security-Policy header so that it contains all the domains from which you wish to load external resources. For example if you'd like to add to your article images from domains %s and %s and you'd also like to add scripts from domain %s you would need to set this setting to %s ";"C";"";"N";"N"
"When selected, welcome message will not show up if there already is message from customer. (message field from pre-chat form or message directly from chat-window)";"When selected, welcome message will not show up if there already is message from customer. (message field from pre-chat form or message directly from chat-window)";"C";"";"N";"N"
"Breathing time";"Breathing time";"C";"";"N";"N"
"Timeout in seconds (0 - 600). Temporary sets agent to 'Breathing Out' status after finishing chat";"Timeout in seconds (0 - 600). Temporary sets agent to 'Breathing Out' status after finishing chat";"C";"";"N";"N"
"tomorrow morning";"tomorrow morning";"C";"";"N";"N"
"24 hours";"24 hours";"C";"";"N";"N"
"the day after tomorrow";"the day after tomorrow";"C";"";"N";"N"
"48 hours";"48 hours";"C";"";"N";"N"
"first day of next week";"first day of next week";"C";"";"N";"N"
"7 days";"7 days";"C";"";"N";"N"
"first day of next month";"first day of next month";"C";"";"N";"N"
"30 days";"30 days";"C";"";"N";"N"
"Code must contain only lowercase letters, numbers, hyphens or underscores without whitespaces";"Code must contain only lowercase letters, numbers, hyphens or underscores without whitespaces";"C";"";"N";"N"
"Please select department!";"Please select department!";"C";"";"N";"N"
"It has vastly better search capabilities and performance than MySQL, especially when it comes to ad-hoc queries and full text searching.";"It has vastly better search capabilities and performance than MySQL, especially when it comes to ad-hoc queries and full text searching.";"C";"";"N";"N"
"declined the invitation";"declined the invitation";"C";"";"N";"N"
"did not answer the invitation";"did not answer the invitation";"C";"";"N";"N"
"You will receive a temporary authorization €1 charge when you add a payment card. This is to validate your credit or debit card.";"You will receive a temporary authorization €1 charge when you add a payment card. This is to validate your credit or debit card.";"C";"";"N";"N"
"Your email will be used for notification purposes only";"Your email will be used for notification purposes only";"C";"";"N";"N"
"Always use this department's mail account.";"Always use this department's mail account.";"C";"";"N";"N"
"Timeout in seconds (0 - 600). Temporary sets agent to 'Breathing Out' status after finishing call";"Timeout in seconds (0 - 600). Temporary sets agent to 'Breathing Out' status after finishing call";"C";"";"N";"N"
"Bot - Send an automated message to your Slack each time you open Slack application (e.g. number of assigned tickets).";"Bot - Send an automated message to your Slack each time you open Slack application (e.g. number of assigned tickets).";"C";"";"N";"N"
"Connect Viber account";"Connect Viber account";"C";"";"N";"N"
"Token";"Token";"C";"";"N";"N"
"Viber account";"Viber account";"C";"";"N";"N"
"Edit Viber account - %s";"Edit Viber account - %s";"C";"";"N";"N"
"Viber accounts";"Viber accounts";"C";"";"N";"N"
"Are you sure you want to activate selected account?";"Are you sure you want to activate selected account?";"C";"";"N";"N"
"Are you sure you want to deactivate selected account?";"Are you sure you want to deactivate selected account?";"C";"";"N";"N"
"Account status changed successfully";"Account status changed successfully";"C";"";"N";"N"
"Account disconnected successfully";"Account disconnected successfully";"C";"";"N";"N"
"Account connected successfully";"Account connected successfully";"C";"";"N";"N"
"Are you sure you want to disconnect selected account?";"Are you sure you want to disconnect selected account?";"C";"";"N";"N"
"Your password doesn't meet the minimum quality score requirement. The minimum score is %s. Your password scored %s. Suggestions: %s %s";"Your password doesn't meet the minimum quality score requirement. The minimum score is %s. Your password scored %s. Suggestions: %s %s";"S";"";"N";"N"
"Plugin was successfully connected with your account.";"Plugin was successfully connected with your account.";"S";"";"N";"N"
"%s connecting plugin - Fail.";"%s connecting plugin - Fail.";"B";"";"N";"N"
"%s connecting plugin - Success.";"%s connecting plugin - Success.";"B";"";"N";"N"
"Choose a different password! Your password was compromised in %s data breaches.";"Choose a different password! Your password was compromised in %s data breaches.";"S";"";"N";"N"
"Invalid value of parameter %s. Expected was number.";"Invalid value of parameter %s. Expected was number.";"S";"";"N";"N"
"Invalid value of parameter %s. Expected was string.";"Invalid value of parameter %s. Expected was string.";"S";"";"N";"N"
"Value of parameter %s is too long. Maximum length is %s characters.";"Value of parameter %s is too long. Maximum length is %s characters.";"S";"";"N";"N"
"Invalid value of parameter %s. Expected was object.";"Invalid value of parameter %s. Expected was object.";"S";"";"N";"N"
"Invalid value of datetime parameter %s.";"Invalid value of datetime parameter %s.";"S";"";"N";"N"
"Validator";"Validator";"B";"";"N";"N"
"You cannot clone owner";"You cannot clone owner";"S";"";"N";"N"
"You cannot create owner";"You cannot create owner";"S";"";"N";"N"
"You do not have rights to delete owners";"You do not have rights to delete owners";"S";"";"N";"N"
"Owner %s is last owner. Need to create new owner.";"Owner %s is last owner. Need to create new owner.";"S";"";"N";"N"
"You do not have rights to edit owners";"You do not have rights to edit owners";"S";"";"N";"N"
"You cannot change role to Owner";"You cannot change role to Owner";"S";"";"N";"N"
"You cannot change your role to Admin";"You cannot change your role to Admin";"S";"";"N";"N"
"Need to select another owner";"Need to select another owner";"S";"";"N";"N"
"New master admin must be an active Owner";"New master admin must be an active Owner";"S";"";"N";"N"
"Password updated";"Password updated";"S";"";"N";"N"
"%s plugin not configured or configured wrong! Please configured plugin in the menu Configuration -> System -> Plugins -> %s.";"%s plugin not configured or configured wrong! Please configured plugin in the menu Configuration -> System -> Plugins -> %s.";"S";"";"N";"N"
"No call to pick up. The queue is already empty.";"No call to pick up. The queue is already empty.";"S";"";"N";"N"
"Device with the same number already exists!";"Device with the same number already exists!";"S";"";"N";"N"
"Missing field ""%s"".";"Missing field ""%s"".";"S";"";"N";"N"
"Invalid validator %s Error: %s";"Invalid validator %s Error: %s";"S";"";"N";"N"
"Ticket fields saved";"Ticket fields saved";"S";"";"N";"N"
"Saved ticket fields %s";"Saved ticket fields %s";"B";"";"N";"N"
"Fields can not be saved.";"Fields can not be saved.";"S";"";"N";"N"
"Fields successfully saved.";"Fields successfully saved.";"S";"";"N";"N"
"Ticket - Rating";"Ticket - Rating";"S";"";"N";"N"
"Ticket - Added rating";"Ticket - Added rating";"S";"";"N";"N"
"Digitale integration: Username or password not set.";"Digitale integration: Username or password not set.";"S";"";"N";"N"
"has left a positive rating of";"has left a positive rating of";"B";"";"N";"N"
"has left a negative rating of";"has left a negative rating of";"B";"";"N";"N"
"Evaluated each day and assigned to the agent that received the most negative ratings in the last 7 days.";"Evaluated each day and assigned to the agent that received the most negative ratings in the last 7 days.";"S";"";"N";"N"
"Rebel Without a Cause";"Rebel Without a Cause";"B";"";"N";"N"
"You have the most negative ratings. Reconsider your answers.";"You have the most negative ratings. Reconsider your answers.";"B";"";"N";"N"
"Evaluated each day and assigned to the agent that received the most positive ratings in the last 7 days.";"Evaluated each day and assigned to the agent that received the most positive ratings in the last 7 days.";"S";"";"N";"N"
"Smooth Operator";"Smooth Operator";"B";"";"N";"N"
"You have the most positive ratings. Customers love you.";"You have the most positive ratings. Customers love you.";"B";"";"N";"N"
"Positive ratings";"Positive ratings";"S";"";"N";"N"
"Positive ratings %";"Positive ratings %";"S";"";"N";"N"
"Negative ratings";"Negative ratings";"S";"";"N";"N"
"Negative ratings %";"Negative ratings %";"S";"";"N";"N"
"Not rated";"Not rated";"S";"";"N";"N"
"Not rated %";"Not rated %";"S";"";"N";"N"
"Not rated per hour";"Not rated per hour";"S";"";"N";"N"
"Positive ratings per hour";"Positive ratings per hour";"S";"";"N";"N"
"Negative ratings per hour";"Negative ratings per hour";"S";"";"N";"N"
"Failed to delete %s rating(s).";"Failed to delete %s rating(s).";"S";"";"N";"N"
"%s rating(s) successfully deleted";"%s rating(s) successfully deleted";"S";"";"N";"N"
"Come on, come on, chop chop! You have a lot of open tickets assigned to you.";"Come on, come on, chop chop! You have a lot of open tickets assigned to you.";"S";"";"N";"N"
"Keep going! You have %s open tickets assigned to you.";"Keep going! You have %s open tickets assigned to you.";"S";"";"N";"N"
"You are almost done, you have only one open ticket assigned to you.";"You are almost done, you have only one open ticket assigned to you.";"S";"";"N";"N"
"You have no open tickets assigned to you.";"You have no open tickets assigned to you.";"S";"";"N";"N"
"Last message from agent or chat/call transcript";"Last message from agent or chat/call transcript";"S";"";"N";"N"
"Last message from agent or chat/call transcript (as quoted text)";"Last message from agent or chat/call transcript (as quoted text)";"S";"";"N";"N"
"Last message from agent";"Last message from agent";"S";"";"N";"N"
"Last message from agent (as quoted text)";"Last message from agent (as quoted text)";"S";"";"N";"N"
"Phone number is missing in the forward command.";"Phone number is missing in the forward command.";"S";"";"N";"N"
"Invalid phone number in the forward command, please enclose the number in double quotation marks.";"Invalid phone number in the forward command, please enclose the number in double quotation marks.";"S";"";"N";"N"
"The phone number in the forward command is invalid. ";"The phone number in the forward command is invalid. ";"S";"";"N";"N"
"A dial out prefix argument is missing in the forward command.";"A dial out prefix argument is missing in the forward command.";"S";"";"N";"N"
"IVR section %s specified in the onError parameter of the forward command does not exist.";"IVR section %s specified in the onError parameter of the forward command does not exist.";"S";"";"N";"N"
"No connected VoIP number was found for the dial out prefix %s specified in the forward command.";"No connected VoIP number was found for the dial out prefix %s specified in the forward command.";"S";"";"N";"N"
"Cannot delete number: Number is used for calls to External agent's phones. Please remove/replace it there first";"Cannot delete number: Number is used for calls to External agent's phones. Please remove/replace it there first";"S";"";"N";"N"
"Error creating device";"Error creating device";"S";"";"N";"N"
"Action failed. Please wait a few seconds before retrying.";"Action failed. Please wait a few seconds before retrying.";"S";"";"N";"N"
"ActiveCampaign Deals";"ActiveCampaign Deals";"S";"";"N";"N"
"HTTPS is required";"HTTPS is required";"S";"";"N";"N"
"LiveAgent CRM";"LiveAgent CRM";"S";"";"N";"N"
"ChargeDesk";"ChargeDesk";"S";"";"N";"N"
"API Token";"API Token";"S";"";"N";"N"
"Personal API Key";"Personal API Key";"S";"";"N";"N"
"ClickUp";"ClickUp";"S";"";"N";"N"
"ClickUp integration";"ClickUp integration";"S";"";"N";"N"
"Connect your ClickUp account";"Connect your ClickUp account";"S";"";"N";"N"
"Error: Invalid team";"Error: Invalid team";"S";"";"N";"N"
"Create Task";"Create Task";"S";"";"N";"N"
"Select list";"Select list";"S";"";"N";"N"
"List is Mandatory";"List is Mandatory";"S";"";"N";"N"
"Search task";"Search task";"S";"";"N";"N"
"Contact was successfully unsubscribed";"Contact was successfully unsubscribed";"S";"";"N";"N"
"Failed to unsubscribed. Reason: ";"Failed to unsubscribed. Reason: ";"S";"";"N";"N"
"Contact was successfully subscribed";"Contact was successfully subscribed";"S";"";"N";"N"
"Failed to subscribed. Reason: ";"Failed to subscribed. Reason: ";"S";"";"N";"N"
"Repository Owner";"Repository Owner";"S";"";"N";"N"
"How to create a personal access token.";"How to create a personal access token.";"S";"";"N";"N"
"Repositories";"Repositories";"S";"";"N";"N"
"List of repositories separated by a comma. E.g: Repo1, Repo2";"List of repositories separated by a comma. E.g: Repo1, Repo2";"S";"";"N";"N"
"Show customer's issues";"Show customer's issues";"S";"";"N";"N"
"Show a full list of all customer's issues.";"Show a full list of all customer's issues.";"S";"";"N";"N"
"Reopen ticket when";"Reopen ticket when";"S";"";"N";"N"
"write the label";"write the label";"S";"";"N";"N"
"Template for reports";"Template for reports";"S";"";"N";"N"
"GitHub plugin was successfully connected with your account.";"GitHub plugin was successfully connected with your account.";"S";"";"N";"N"
"GitHub";"GitHub";"S";"";"N";"N"
"Error: Invalid repository";"Error: Invalid repository";"S";"";"N";"N"
"Contact has no issues";"Contact has no issues";"S";"";"N";"N"
"Connect your GitHub account to facilitate reporting of problems, automatic reopening of the ticket when problem are solved, for easier monitoring of customer problems";"Connect your GitHub account to facilitate reporting of problems, automatic reopening of the ticket when problem are solved, for easier monitoring of customer problems";"S";"";"N";"N"
"App ID";"App ID";"S";"";"N";"N"
"Help Scout App ID. Obtain it from Your Profile->My Apps section.";"Help Scout App ID. Obtain it from Your Profile->My Apps section.";"S";"";"N";"N"
"Help Scout App Secret. Obtain it from Your Profile->My Apps section.";"Help Scout App Secret. Obtain it from Your Profile->My Apps section.";"S";"";"N";"N"
"Help Scout API Key. Obtain it from Your Profile->Authentication->API Keys section.";"Help Scout API Key. Obtain it from Your Profile->Authentication->API Keys section.";"S";"";"N";"N"
"Migrate KB, tags, fields, users, team, customer, tickets from Help Scout";"Migrate KB, tags, fields, users, team, customer, tickets from Help Scout";"S";"";"N";"N"
"Entity ID (Email)";"Entity ID (Email)";"S";"";"N";"N"
"Enter your Magento shop URL. e.g. http://www.example.com";"Enter your Magento shop URL. e.g. http://www.example.com";"S";"";"N";"N"
"Magento orders";"Magento orders";"S";"";"N";"N"
"Shop:";"Shop:";"S";"";"N";"N"
"Magento2 orders";"Magento2 orders";"S";"";"N";"N"
"Pipedrive";"Pipedrive";"S";"";"N";"N"
"Enter your PrestaShop URL. e.g. http://www.example-shop.com";"Enter your PrestaShop URL. e.g. http://www.example-shop.com";"S";"";"N";"N"
"Enter webservice key";"Enter webservice key";"S";"";"N";"N"
"Write the custom admin name here (e.g. ""administrator"" or ""admin"")";"Write the custom admin name here (e.g. ""administrator"" or ""admin"")";"S";"";"N";"N"
"PrestaShop orders";"PrestaShop orders";"S";"";"N";"N"
"PrestaShop";"PrestaShop";"S";"";"N";"N"
"Help agents to access information about customers' orders from your PrestaShop shop.";"Help agents to access information about customers' orders from your PrestaShop shop.";"S";"";"N";"N"
"Email has no orders in your shop yet.";"Email has no orders in your shop yet.";"S";"";"N";"N"
"Click to open order detail.";"Click to open order detail.";"S";"";"N";"N"
"Warning: Token will have to be updated.";"Warning: Token will have to be updated.";"S";"";"N";"N"
"Salesflare";"Salesflare";"S";"";"N";"N"
"Salesflare Integration";"Salesflare Integration";"S";"";"N";"N"
"Allows agents to connect with Salesflare CRM.";"Allows agents to connect with Salesflare CRM.";"S";"";"N";"N"
"Add Opportunity";"Add Opportunity";"S";"";"N";"N"
"Close date";"Close date";"S";"";"N";"N"
"Enter your Shopify URL. e.g. https://example.myshopify.com";"Enter your Shopify URL. e.g. https://example.myshopify.com";"S";"";"N";"N"
"You can automatically add a Shopify customer who made an order to a special Contact Group.";"You can automatically add a Shopify customer who made an order to a special Contact Group.";"S";"";"N";"N"
"Help agents to access information about customer's orders from your Shopify shop.";"Help agents to access information about customer's orders from your Shopify shop.";"S";"";"N";"N"
"This plugin can be used in cooperation with a private App of your Shopify account.%sLogin to your Shopify admin panel and navigate to %s (top left). Create a private app and name it e.g. ""%s"". Make sure the permission for %s customers and orders are set to 'Read'%s. When done, use it's credentials when setting up the plugin.";"This plugin can be used in cooperation with a private App of your Shopify account.%sLogin to your Shopify admin panel and navigate to %s (top left). Create a private app and name it e.g. ""%s"". Make sure the permission for %s customers and orders are set to 'Read'%s. When done, use it's credentials when setting up the plugin.";"S";"";"N";"N"
"Enter your Shopify shop URL. e.g. https://example.myshopify.com";"Enter your Shopify shop URL. e.g. https://example.myshopify.com";"S";"";"N";"N"
"Shopify integration with chat button";"Shopify integration with chat button";"S";"";"N";"N"
"Helps you to integrate your shop with a chosen chat button.";"Helps you to integrate your shop with a chosen chat button.";"S";"";"N";"N"
"Teamwork Desk URL";"Teamwork Desk URL";"S";"";"N";"N"
"Teamwork Desk Migration";"Teamwork Desk Migration";"S";"";"N";"N"
"Migrate data from Teamwork Desk. The plugin migrates agents, admins, tags, custom fields, customers, tickets";"Migrate data from Teamwork Desk. The plugin migrates agents, admins, tags, custom fields, customers, tickets";"S";"";"N";"N"
"Only 50 articles can be listed. Use search to refine results.";"Only 50 articles can be listed. Use search to refine results.";"S";"";"N";"N"
"Enter your WordPress/WooCommerce shop URL e.g. https://example.com";"Enter your WordPress/WooCommerce shop URL e.g. https://example.com";"S";"";"N";"N"
"In case you are using a custom admin URL, please define the right admin slug here. The default value is ""wp-admin""";"In case you are using a custom admin URL, please define the right admin slug here. The default value is ""wp-admin""";"S";"";"N";"N"
"Username(Email)";"Username(Email)";"S";"";"N";"N"
"Migrate data from Zendesk. The plugin migrates tags, user fields, ticket fields, users (agents, admins, end-users), KB, companies, departments and tickets in New, Open, Pending, Hold, Closed and Solved state.";"Migrate data from Zendesk. The plugin migrates tags, user fields, ticket fields, users (agents, admins, end-users), KB, companies, departments and tickets in New, Open, Pending, Hold, Closed and Solved state.";"S";"";"N";"N"
"Minimize window";"Minimize window";"S";"";"N";"N"
"Type your message here";"Type your message here";"S";"";"N";"N"
"The browser window has to be reloaded to finalize the changes. Do you want to reload it now?";"The browser window has to be reloaded to finalize the changes. Do you want to reload it now?";"C";"";"N";"N"
"Your license has changed. The browser window has to be reloaded to finalize the changes. Do you want to reload it now?";"Your license has changed. The browser window has to be reloaded to finalize the changes. Do you want to reload it now?";"C";"";"N";"N"
"Plugin Configuration";"Plugin Configuration";"C";"";"N";"N"
"Config %s";"Config %s";"C";"";"N";"N"
"Are you sure you want to delete the settings?";"Are you sure you want to delete the settings?";"C";"";"N";"N"
"Search department";"Search department";"C";"";"N";"N"
"Search agent";"Search agent";"C";"";"N";"N"
"Assign account creator role to:";"Assign account creator role to:";"C";"";"N";"N"
"You are the last owner. Please appoint a new owner before deleting your account.";"You are the last owner. Please appoint a new owner before deleting your account.";"C";"";"N";"N"
"Agent %s is used in %s";"Agent %s is used in %s";"C";"";"N";"N"
"Agent %s is account creator";"Agent %s is account creator";"C";"";"N";"N"
"Are you sure you want to delete Agent %s?";"Are you sure you want to delete Agent %s?";"C";"";"N";"N"
"Owner can manage account, billing and system settings, view and answer tickets";"Owner can manage account, billing and system settings, view and answer tickets";"C";"";"N";"N"
"You are the last owner. Please appoint a new owner before changing your role.";"You are the last owner. Please appoint a new owner before changing your role.";"C";"";"N";"N"
"Assign";"Assign";"C";"";"N";"N"
"You are trying to change the role of the account creator. Please select new account creator first";"You are trying to change the role of the account creator. Please select new account creator first";"C";"";"N";"N"
"Chats history";"Chats history";"C";"";"N";"N"
"Accept all risky passwords";"Accept all risky passwords";"C";"";"N";"N"
"Accept very weak passwords";"Accept very weak passwords";"C";"";"N";"N"
"Accept weak passwords";"Accept weak passwords";"C";"";"N";"N"
"Accept strong passwords";"Accept strong passwords";"C";"";"N";"N"
"Accept only very strong passwords";"Accept only very strong passwords";"C";"";"N";"N"
"Password quality";"Password quality";"C";"";"N";"N"
"Password quality scores are based on strength estimation using pattern matching and minimum entropy calculations.";"Password quality scores are based on strength estimation using pattern matching and minimum entropy calculations.";"C";"";"N";"N"
"Block leaked passwords";"Block leaked passwords";"C";"";"N";"N"
"Verify if the password has been compromised in a data breach. The password cannot be used if it was compromised.";"Verify if the password has been compromised in a data breach. The password cannot be used if it was compromised.";"C";"";"N";"N"
"Text hover";"Text hover";"C";"";"N";"N"
"Use basic HTML tags to format the description";"Use basic HTML tags to format the description";"C";"";"N";"N"
"Edit field description";"Edit field description";"C";"";"N";"N"
"Regular expressions must be enclosed in a pair of forward slashes. (e.g. /pattern/)";"Regular expressions must be enclosed in a pair of forward slashes. (e.g. /pattern/)";"C";"";"N";"N"
"Choose from predefined validators or define a custom regular expression";"Choose from predefined validators or define a custom regular expression";"C";"";"N";"N"
"Postal address";"Postal address";"C";"";"N";"N"
"No validation";"No validation";"C";"";"N";"N"
"Custom regular expression";"Custom regular expression";"C";"";"N";"N"
"Integer";"Integer";"C";"";"N";"N"
"Decimal number";"Decimal number";"C";"";"N";"N"
"Alphanumeric string";"Alphanumeric string";"C";"";"N";"N"
"Alphanumeric string including spaces";"Alphanumeric string including spaces";"C";"";"N";"N"
"Web address / URL";"Web address / URL";"C";"";"N";"N"
"IPv4 or IPv6 address";"IPv4 or IPv6 address";"C";"";"N";"N"
"Email address";"Email address";"C";"";"N";"N"
"Credit card number";"Credit card number";"C";"";"N";"N"
"US phone number";"US phone number";"C";"";"N";"N"
"International phone number";"International phone number";"C";"";"N";"N"
"Date format YYYY-MM-dd or YYYY/MM/dd";"Date format YYYY-MM-dd or YYYY/MM/dd";"C";"";"N";"N"
"Date Format dd-MM-YYYY";"Date Format dd-MM-YYYY";"C";"";"N";"N"
"Time format HH:MM";"Time format HH:MM";"C";"";"N";"N"
"Social Security Number";"Social Security Number";"C";"";"N";"N"
"Supports HTML formatting.";"Supports HTML formatting.";"C";"";"N";"N"
"Available values";"Available values";"C";"";"N";"N"
"Show if used";"Show if used";"C";"";"N";"N"
"Always visible";"Always visible";"C";"";"N";"N"
"%s is not valid email or phone number";"%s is not valid email or phone number";"C";"";"N";"N"
"Move all of them to the department";"Move all of them to the department";"C";"";"N";"N"
"Department %s is used in:";"Department %s is used in:";"C";"";"N";"N"
"Copy";"Copy";"C";"";"N";"N"
"You cannot pick up another call, please finish your current call first.";"You cannot pick up another call, please finish your current call first.";"C";"";"N";"N"
"Allow changing ticket state if reply to private message is added directly from Facebook page";"Allow changing ticket state if reply to private message is added directly from Facebook page";"C";"";"N";"N"
"Allow change ticket state";"Allow change ticket state";"C";"";"N";"N"
"Hi, I'm %s";"Hi, I'm %s";"C";"";"N";"N"
"Extend the knowledge base search with the source page title, keywords, and description";"Extend the knowledge base search with the source page title, keywords, and description";"C";"";"N";"N"
"External phone";"External phone";"C";"";"N";"N"
"Edit External phone";"Edit External phone";"C";"";"N";"N"
"View External phone";"View External phone";"C";"";"N";"N"
"Add External phone";"Add External phone";"C";"";"N";"N"
"Via";"Via";"C";"";"N";"N"
"Please use host address provided by your VoIP provider";"Please use host address provided by your VoIP provider";"C";"";"N";"N"
"Negative rating";"Negative rating";"B";"";"N";"N"
"Positive rating";"Positive rating";"B";"";"N";"N"
"Agents' ratings";"Agents' ratings";"C";"";"N";"N"
"Positive";"Positive";"C";"";"N";"N"
"Negative";"Negative";"C";"";"N";"N"
"Unknown type of rating";"Unknown type of rating";"C";"";"N";"N"
"rated positively";"rated positively";"C";"";"N";"N"
"with empty tags";"with empty tags";"C";"";"N";"N"
"with any tag";"with any tag";"C";"";"N";"N"
"with tags %s";"with tags %s";"C";"";"N";"N"
"with any tag from %s";"with any tag from %s";"C";"";"N";"N"
"Invalid value of date range parameter %s.";"Invalid value of date range parameter %s.";"S";"";"N";"N"
"Rule %s was deactivated.";"Rule %s was deactivated.";"S";"";"N";"N"
"%s %s was successfully added. They will receive an invitation email with instructions on how to login to the application";"%s %s was successfully added. They will receive an invitation email with instructions on how to login to the application";"S";"";"N";"N"
"%s department is unavailable. Call is routed to IVR offline section.";"%s department is unavailable. Call is routed to IVR offline section.";"B";"";"N";"N"
"Error during removing template cache.";"Error during removing template cache.";"S";"";"N";"N"
"Sent to an agent when a new ticket is created in any of their departments.";"Sent to an agent when a new ticket is created in any of their departments.";"B";"";"N";"N"
"Sent to the agent when an admin adds them to the system. This email contains a link to set up their password.";"Sent to the agent when an admin adds them to the system. This email contains a link to set up their password.";"B";"";"N";"N"
"Sent to the agent when they click on the 'Forgot password' link in the login panel.";"Sent to the agent when they click on the 'Forgot password' link in the login panel.";"B";"";"N";"N"
"Sent to agents when they or another admin resets their password from the agent panel.";"Sent to agents when they or another admin resets their password from the agent panel.";"B";"";"N";"N"
"Sent to the customer when they create an account in the Knowledgebase. This email contains a link where they can set up their password. It also serves as a customer verification email. Customers that use fake email addresses won't be able to set up their account password.";"Sent to the customer when they create an account in the Knowledgebase. This email contains a link where they can set up their password. It also serves as a customer verification email. Customers that use fake email addresses won't be able to set up their account password.";"B";"";"N";"N"
"Sent to customers when they click on the 'Forgot password' link in the login panel.";"Sent to customers when they click on the 'Forgot password' link in the login panel.";"B";"";"N";"N"
"Missing parameter.";"Missing parameter.";"S";"";"N";"N"
"Ticket with id %s does not exist.";"Ticket with id %s does not exist.";"S";"";"N";"N"
"Microsoft application successfully saved.";"Microsoft application successfully saved.";"B";"";"N";"N"
"Hi, my colleague is finishing their shift, so I'm taking over this conversation. Please give me a moment to get up to speed.";"Hi, my colleague is finishing their shift, so I'm taking over this conversation. Please give me a moment to get up to speed.";"S";"";"N";"N"
"Time in minutes after which unresolved or unanswered tickets will be unassigned from an agent.";"Time in minutes after which unresolved or unanswered tickets will be unassigned from an agent.";"S";"";"N";"N"
"portal";"portal";"S";"";"N";"N"
"Comm100.com account portal, if your Control Panel domain is portal1.comm100.io portal is 1";"Comm100.com account portal, if your Control Panel domain is portal1.comm100.io portal is 1";"S";"";"N";"N"
"site id";"site id";"S";"";"N";"N"
"Comm100.com account site id. Obtain it from Your Global Settings->Site Profile";"Comm100.com account site id. Obtain it from Your Global Settings->Site Profile";"S";"";"N";"N"
"Comm100 Migration (Api V3)";"Comm100 Migration (Api V3)";"S";"";"N";"N"
"To create a Personal Access Tokens please visit %s, and create it with the following access scopes:";"To create a Personal Access Tokens please visit %s, and create it with the following access scopes:";"S";"";"N";"N"
"DataBase";"DataBase";"S";"";"N";"N"
"((OTRS)) Community Edition Migration";"((OTRS)) Community Edition Migration";"S";"";"N";"N"
"Migrate data from OTRS. The plugin migrates: dynamic fields, companies, customers, groups, agents, tickets";"Migrate data from OTRS. The plugin migrates: dynamic fields, companies, customers, groups, agents, tickets";"S";"";"N";"N"
"Importing OTRS data";"Importing OTRS data";"S";"";"N";"N"
"Pipedrive Integration (DEPRECATED)";"Pipedrive Integration (DEPRECATED)";"S";"";"N";"N"
"Allows agents to connect with Pipedrive CRM.<br> This plugin deprecated and will be deleted at future, please use ""Pipedrive Integration v2""";"Allows agents to connect with Pipedrive CRM.<br> This plugin deprecated and will be deleted at future, please use ""Pipedrive Integration v2""";"S";"";"N";"N"
"Pipedrive CRM";"Pipedrive CRM";"S";"";"N";"N"
"Pipedrive Integration v2";"Pipedrive Integration v2";"S";"";"N";"N"
"When you activate the plugin, a special button for the plugin authorization will show up here.";"When you activate the plugin, a special button for the plugin authorization will show up here.";"S";"";"N";"N"
"%sTo connect your %s with Pipedrive, you have to add an authorization for the plugin. Please, use the Pipedrive button to authorize it:%s";"%sTo connect your %s with Pipedrive, you have to add an authorization for the plugin. Please, use the Pipedrive button to authorize it:%s";"S";"";"N";"N"
"Pipedrive V2 connecting plugin - Fail.";"Pipedrive V2 connecting plugin - Fail.";"B";"";"N";"N"
"Customer don't have any deal yet.";"Customer don't have any deal yet.";"S";"";"N";"N"
"After an agent clicks on the ""To solve"" button, the priority of the ticket where the agent has replied as the last person is multiplied by this value. The higher the priority, the sooner it is displayed. Please note that overdue tickets or tickets with overdue SLAs can still have a higher priority.";"After an agent clicks on the ""To solve"" button, the priority of the ticket where the agent has replied as the last person is multiplied by this value. The higher the priority, the sooner it is displayed. Please note that overdue tickets or tickets with overdue SLAs can still have a higher priority.";"S";"";"N";"N"
"When a customer tries to call you, they automatically get into a queue and wait for the first available agent.";"When a customer tries to call you, they automatically get into a queue and wait for the first available agent.";"S";"";"N";"N"
"Once a customer clicks on the chat button, a chat window will pop up and they can start chatting with you (if you are available).";"Once a customer clicks on the chat button, a chat window will pop up and they can start chatting with you (if you are available).";"S";"";"N";"N"
